2017-04-12 | canal 3 | 20:50 | pos | pablo jukic | Nuevos servicios en ruta 33 y 9, los detalles En 60 días esperan renovar las unidades Nota Pablo Jukic (Secretario de Transporte provincia de Santa Fe)
2017-04-12 | canal 3 | 21:05 | neg | micaela garcia | Crimen de Micaela García Wagner se declaró culpable Presos con salidas transitorias no regresan al penal En lo que va del año 46 no volvieron Piden endurecer requisitos para acceder al beneficio Nota Maximiliano Pullaro (Ministro de Seguridad provincia de Santa Fe)
2017-04-12 | canal 3 | 12:12 | pos | lorenzo bullrich | Bullrich en San Lorenzo Bullrich y Pullaro lanzaron el plan ?Cosecha Segura?
2017-04-14 | canal 3 | 20:01 | pos | natividad del señor , ignacio via | Vivo Natividad del Señor La emoción del vía crucis del padre Ignacio Vía crucis de Ignacio: una multitud en barrio Rucci Vía crucis: cómo será la desconcentración? Operativo especial de tránsito Nota Guillermo Turrin (Subsecretario de Control y Convivencia Ciudadana municipalidad de Rosario) Natividad del Señor La emoción del vía crucis del padre Ignacio Todos encolumnados tras la cruz -- Informes recinfoarch@gmailcom <recinfoarch@gmailcom>
2017-04-17 | canal 3 | 20:46 | neg | daniel erbetta | Se abrió el año judicial En medio del debate judicial, la Justicia abrió el año Lifschitz y Fein en el inicio del año judicial Notas Dr Daniel Erbetta (Presidente Corte Suprema de Justicia de Santa Fe) y Ricardo Silberstein (Ministro de Justicia provincia de Santa Fe)
2017-04-17 | canal 3 | 20:48 | neg |  | Terminal Debutaron los nuevos servicios del reemplazo de Monticas Nuevos colectivos y empresas a Venado y Arteaga
2017-04-17 | canal 3 | 20:53 | pos |  | Avanzan las obras en calle Sarmiento Casco histórico: habilitaron el paso peatonal en calle Sarmiento Rosarinos opinaron sobre las obras en calle Sarmiento
2017-04-17 | canal 3 | 11:54 | neg |  | Se abre el año judicial Lifschitz y Fein en el inicio del año judicial
2017-04-17 | canal 3 | 12:06 | neg |  | Se abre el año judicial Lifschitz y Fein en el inicio del año judicial
2017-04-17 | canal 3 | 12:16 | neg |  | Terminal Debutaron los nuevos servicios del reemplazo de Monticas Opinión dispar sobre el servicio del nuevo
2017-04-18 | canal 3 | 21:11 | pos | monica fein | Parque Independencia Recorrida por el renovado Museo Castagnino Nota Intendenta Mónica Fein
2017-04-18 | canal 3 | 21:14 | neg | monica fein | El municipio pide otra vez por el endeudamiento Nota Intendenta Mónica Fein
2017-04-18 | canal 3 | 12:12 | neg | eduardo taboada | Advertencia de los médicos municipales Podrían no prestar servicios de traslados en Sies Nota a Eduardo Taboada (Amra)
2017-04-19 | canal 3 | 12:39 | neg | maximiliano pullaro | Deportes12:42 ? Buenos Aires al 2100 Presentan plan integral de seguridad en estadios Nota a Maximiliano Pullaro (Ministro de Seguridad Provincial)
2017-04-20 | canal 3 | 20:09 | neg | hector cavallero | Polémica por la situación de la autopista Rosario-Santa Fe Denuncian que ARSAA no ejecutó obras por más de 1500 millones de pesos Cuestionan que la provincia no controló a ARSAA Diputados responsabilizaron al gobierno provincial Nota Diputado provincial Héctor Cavallero
2017-04-20 | canal 3 | 20:12 | pos | antonio donello | La mejor noticia para Mefro Wheels La planta reabrirá sus puertas en 90 días La firma Cirubón se hará cargo de la fábrica de llantas Notas Antonio Donello (Secretario general UOM Rosario), gobernador Miguel Lifschitz y Ricardo Cicarelli (Empresario)
2017-04-20 | canal 3 | 20:15 | neg | monica fein | La intendenta defendió el pedido de crédito El Ejecutivo realizó cambios a pedido de la oposición El nuevo pedido de endeudamiento incluye detalle de las obras Fein confía en que se aprobará el proyecto Nota Intendenta Mónica Fein
2017-04-20 | canal 3 | 20:50 | pos | luis contigiani | El futuro de Sancor en Centeno La empresa La Tarantela podría comprar Sancor Nota Luis Contigiani (Ministro de la Producción provincia de Santa Fe)
2017-04-20 | canal 3 | 21:14 | pos | roy lopez | Cámara de Diputados Impulsan la figura de ?amigo del Tribunal? Organizaciones podrían aportar datos a la Justicia Nota Diputado provincial Roy López Molina
2017-04-20 | canal 3 | 12:03 | neg |  | Cuestionan la situación de la autopista Rosario ? Santa Fe Denuncian que Arssa no ejecutó obras por más de $ 1500000 Cuestionan a la concesionaria de la autopista Afirman que la provincia no controló a Arssa
2017-04-20 | canal 3 | 12:11 | neg | gustavo adda | Siniestro fatal por no respetar las normas de tránsito La ciclovía se va respetando de a poco En general los rosarinos son cumplidores de las normas Nota a Gustavo Adda (Director de Tránsito Municipal)
2017-04-20 | canal 3 | 13:02 | pos | monica fein | Crédito externo para obras Endeudarse para obras y capitalizar el Banco Municipal Nota a Mónica Fein (Intendenta)
2017-04-21 | canal 3 | 20:03 | neg | capitan bermudez | Accidente múltiple en autopista Rosario-Santa Fe Chocaron cuatro autos y dos camiones a la altura de capitán Bermúdez Un camionero estuvo dos horas atrapado entre los hierros
2017-04-21 | canal 3 | 20:13 | neg | capitan bermudez | Vivo Accidente múltiple en autopista Rosario-Santa Fe Chocaron cuatro autos y dos camiones a la altura de capitán Bermúdez Un camionero estuvo dos horas atrapado entre los hierros
2017-04-21 | canal 3 | 20:34 | pos | jorge triaca , antonio bonfatti | Deportes20:39 ? Gobernación Jorge Triaca en Rosario El ministro de Trabajo reunido con diputados Notas Jorge Triaca (Ministro de Trabajo de la Nación), diputado provincial Antonio Bonfatti y Juan Guti (Presidente comunal de Centeno)
2017-04-21 | canal 3 | 20:41 | neg | daniel corbellini | Falsas denuncian que funcionan por Whatsapp Investigan casos de supuestos secuestros en Santa Fe Alertan por falsos casos de desapariciones que se viralizan Nota Daniel Corbellini (PDI)
2017-04-21 | canal 3 | 21:03 | pos | guillermo rios | Vivo Rosario celebra ?La noche de las librerías? Las librerías permanecerán abiertas hasta la medianoche Presentaciones de libros, lecturas, espectáculos y música Nota Guillermo Ríos (Secretario de Cultura municipalidad de Rosario)
2017-04-21 | canal 3 | 21:26 | neu | rosana nardi | Armstrong Lanzamiento de Agroactiva 2017 La megamuestra será desde el 31 de mayo al 3 de junio Notas Rosana Nardi (Presidenta Agroactiva) y Marcelo Bargelini (Secretario Agroindustria Santa Fe)
2017-04-21 | canal 3 | 12:14 | neu |  | Villa Gobernador Galvez Turista rosarino en Bolivia en problemas Afirman que la cobertura de salud no se hace cargo
2017-04-21 | canal 3 | 13:20 | neg |  | Grave accidente en la autopista a Santa Fe Habría un conductor atrapado
2017-04-21 | canal 3 | 13:43 | neg | marcos escajadillo | Deportes13:55 ? Grave accidente en la autopista a Santa Fe Nota a Marcos Escajadillo (Protección Civil)
2017-04-21 | canal 3 | 13:58 | neg |  | Están por cortar la AU a Santa Fe
2017-04-21 | canal 3 | 14:06 | neg |  | Grave accidente en la autopista a Santa Fe
2017-04-24 | canal 3 | 11:59 | neg |  | Terminal Nuevos servicios para cubrir la ex Monticas en ruta 9 El 33/9 con nuevos destinos
2017-04-24 | canal 3 | 12:23 | neg | gustavo zignago | Taxista manejaba borracho y drogado El joven chofer fue denunciado por los propios pasajeros Detectaron a un taxista con narcolemia positiva Nota a Gustavo Zignago, Secretario de Control y Convivencia Ciudadana
2017-04-24 | canal 3 | 12:26 | pos | jose iantosca | Riobamba al 1800 Titulares de taxis se oponen a una aplicación para celulares Cabify ya anuncio su desembarco en Rosario Cabify es una app para Ios y Android Taxistas vs Cabify, una app de servicios de traslados Nota a José Iantosca y José Tornambé de Titulares de Taxis
2017-04-24 | canal 3 | 13:17 | pos | monica fein | Fein recogió el guante Fein sigue confiada y cree que el endeudamiento ?va a salir? Nota a Intendenta Mónica Fein
